course_code,section_no,room
PE104,B,
PE105,A,
PE105,B,
PE105,C,
PE105,D,
PE106,A,
PE106,B,
PE107,A,
PE107,B,
PE107,C,
PE107,D,
PE107,E,
PE112,A,
PE112,B,
PE114,A,
PE114,B,
PE116,A,
PE116,B,
PE116,C,
PE116,D,
PE119,A,
PE120,A,
PE120,B,
PE120,C,
PE120,D,
PE121,A,
PE121,B,
PE123,A,
PE123,B,
PHIL102,A,SCOLA.229
PHIL210,A,SCOLA.322
PSY100,A,LF_AB3.338
PSY101,A,LF_AB3.236
PSY103,A,LF_AB3.134;LF_AB3.133
PSY103R,A,LF_AB3.133
PSY105,A,LF_AB3.237
PSY201,A,SCOLA.126
PSY203,A,LF_AB3.133
PSY205,A,LF_AB3.134
PSY207,A,LF_AB3.134
PSY300,B,
PSY300,C,
PSY300,D,
PSY300,E,
PSY301,A,LF_AB3.135
PSY303,A,LF_AB3.135
PSY305,A,LF_AB3.134
PSY321,A,LF_AB3.331
PSY325,A,FEAS_AB2.B43A
PSY400,A,
PSY404,A,LF_AB3.240
PSY406,A,SCOLA.231
PSY422,A,FEAS_AB2.114
PSY433,A,FEAS_AB2.114
PSY435,A,FEAS_AB2.114
SOC104,A,FEAS_AB2.113
SOC201,B,LF_AB3.347
TLL100,A,SCOLA.128
TLL100,B,FEAS_AB2.115
TLL100,C,LF_AB3.241
TLL100,D,SCOLA.127
TLL100,E,EF_AB1.246
TLL100,F,FEAS_AB2.113
TLL100,G,FEAS_AB2.G14
TLL100,H,FEAS_AB2.B46
TLL100,I,FEAS_AB2.115
TLL100,J,LF_AB3.348
TLL100,K,SCOLA.126
TLL101,A,EF_AB1.511
TLL102,A,FEAS_AB2.B43B
TLL102,B,LF_AB3.241
TLL102,C,FEAS_AB2.112
TLL102,D,SCOLA.323
TLL102,E,SCOLA.231
TLL102,F,FEAS_AB2.115
TLL102,G,SCOLA.231
TLL102,H,FEAS_AB2.114
TLL102,I,SCOLA.229
TLL102,K,EF_AB1.408
TLL102,L,FEAS_AB2.B43A
TLL102,M,FEAS_AB2.129
TLL102,N,SCOLA.231
TLL102,O,SCOLA.229
TLL102,P,EF_AB1.407
TLL102,Q,SCOLA.127
TLL102,R,FEAS_AB2.115
TLL102,S,SCOLA.323
TLL102,T,SCOLA.322
HIST104,B,FEAS_AB2.B43A
IR205,A,LF_AB3.237
IR303,A,LF_AB3.330
IR319,A,FEAS_AB2.G11
PHIL104,A,FEAS_AB2.102
PHIL220,A,SCOLA.322
PSY300,A,
PSY313,A,FEAS_AB2.101
PSY323,A,FEAS_AB2.B45
PSY405,A,LF_AB3.333
PSY490,A,
SOC201,A,SCOLA.323
SOC201,C,SCOLA.323
HIST309,A,SCOLA.322
HUM319,B,FEAS_AB2.114
HIST103,B,FEAS_AB2.116
GARM103,A,LF_AB3.236
GARM121,A,FEAS_AB2.113
GARM204,A,FEAS_AB2.101
GARM221,A,FEAS_AB2.B22;FEAS_AB2.B23
GARM221,B,FEAS_AB2.B22;FEAS_AB2.B19;FEAS_AB2.B23
GARM221,C,FEAS_AB2.B22;FEAS_AB2.B19
GARM221,D,FEAS_AB2.B22;FEAS_AB2.B19
GARM222,A,FEAS_AB2.B01_A
GARM223,A,FEAS_AB2.B31
GARM223,B,FEAS_AB2.B31
GARM224,A,FEAS_AB2.G02
GARM321,A,FEAS_AB2.B22;FEAS_AB2.B23
GARM321,C,FEAS_AB2.B22;FEAS_AB2.B21;FEAS_AB2.B23
GARM321,D,FEAS_AB2.B22;FEAS_AB2.B23
GARM322,A,FEAS_AB2.B01_A
GARM361,A,FEAS_AB2.B21;FEAS_AB2.113
GARM361,C,FEAS_AB2.113;FEAS_AB2.B21
GARM361,D,FEAS_AB2.113;FEAS_AB2.B21
GARM363,A,FEAS_AB2.B46
GARM423,A,FEAS_AB2.B01_A;FEAS_AB2.B01_B
GARM423,B,FEAS_AB2.B01_A;FEAS_AB2.B01_B
GARM473,A,
GARM479,A,FEAS_AB2.B01_B
GARM484,A,FEAS_AB2.115
GARM487,A,FEAS_AB2.G03
HMAN131,A,FEAS_AB2.G03
HMAN204,A,FEAS_AB2.113
HMAN331,A,FEAS_AB2.B43B
HMAN333,A,FEAS_AB2.G02
HMAN336,A,SCOLA.323
HMAN404,A,FEAS_AB2.115
HMAN466,A,FEAS_AB2.G02
SAS101,A,LF_AB3.347
SAS105,A,EF_AB1.407
SAS201,A,LF_AB3.347
SAS202,A,LF_AB3.347
SAS203,B,EF_AB1.232;FEAS_AB2.B01_B
SAS205,A,LF_AB3.136
SAS303,A,LF_AB3.347
SAS353,A,LF_AB3.333
SAS405,A,FEAS_AB2.B43B
SAS405_U,A,
SAS453,A,FEAS_AB2.G02
GARM321,B,FEAS_AB2.B22;FEAS_AB2.B23;FEAS_AB2.B21
GARM324,A,FEAS_AB2.G14
GARM361,B,FEAS_AB2.B23;FEAS_AB2.113
GARM421,A,FEAS_AB2.G01
GARM483,A,FEAS_AB2.G03
GARM486,A,FEAS_AB2.B31
HMAN132,A,FEAS_AB2.G13;EF_AB1.418
HMAN304,A,FEAS_AB2.116
HMAN369,A,SCOLA.B21
HMAN460,A,LF_AB3.332
SAS102,A,LF_AB3.347
SAS203,A,EF_AB1.232;FEAS_AB2.B01_B
SAS301,A,LF_AB3.348
SAS352,A,SCOLA.231
SAS404,A,
