course_code,section_no,room
FIN401,A,FEAS_AB2.129
FIN403,A,
FIN404,A,LF_AB3.338
FIN411,A,FEAS_AB2.115
FIN416,A,FEAS_AB2.115
FIN419,A,SCOLA.129
FIN421,A,FEAS_AB2.G12
IBUS203,A,SCOLA.229
IBUS301,A,LF_AB3.240
IBUS303,A,SCOLA.126
IBUS305,A,SCOLA.229
IBUS306,A,FEAS_AB2.129
IBUS307,A,LF_AB3.134
IBUS309,A,FEAS_AB2.G03
IBUS402,A,FEAS_AB2.110
IBUS403,A,LF_AB3.347
IBUS404,A,SCOLA.127
IBUS405,A,
IBUS406,A,LF_AB3.235
IBUS407,A,LF_AB3.331
IBUS409,A,EF_AB1.510
IBUS411,A,FEAS_AB2.G14
MGMT202,A,SCOLA.229
MGMT202,B,LF_AB3.133
MGMT311,A,FEAS_AB2.110
MGMT312,A,LF_AB3.330
MGMT401,A,LF_AB3.136
MGMT401,B,SCOLA.326
MGMT402,A,FEAS_AB2.G01
MGMT405,A,
MIS100,A,LF_AB3.238
MIS203,A,FEAS_AB2.129
MIS206,A,LF_AB3.333
MIS305,A,LF_AB3.136
MIS309,A,FEAS_AB2.114
MIS311,A,LF_AB3.235
MIS311,B,LF_AB3.235
MIS403,A,
MKTG201,A,SCOLA.323
MKTG201,C,SCOLA.322
MKTG201,D,FEAS_AB2.116
MKTG201,E,SCOLA.230
MKTG313,A,LF_AB3.240
MKTG314,A,LF_AB3.241
MKTG322,A,FEAS_AB2.G10
MKTG403,A,
MKTG412,A,EF_AB1.408
OPER202,B,SCOLA.326
OPER202,C,LF_AB3.136
OPER312,A,EF_AB1.510
OPER313,A,FEAS_AB2.G10
OPER318,A,SCOLA.229
OPER403,A,
BUS101L,B,FEAS_AB2.102
BUS190,B,FEAS_AB2.G01
BUS201,B,SCOLA.322
BUS301,B,EF_AB1.414
ECON101,B,LF_AB3.236
ECON210,B,SCOLA.322
ECON307,A,EF_AB1.509
ECON310,A,EF_AB1.407
IBUS104,A,SCOLA.126
IBUS204,A,LF_AB3.236
IBUS308,A,LF_AB3.348
MGMT314,A,EF_AB1.232
MIS103,A,LF_AB3.236
MIS301,A,EF_AB1.232
MKTG201,B,FEAS_AB2.B43A
MKTG315,A,LF_AB3.348
MKTG325,A,FEAS_AB2.103
OPER202,A,SCOLA.127;LF_AB3.134
ARCH101,A,AF_AB4.B233
ARCH101,B,AF_AB4.B233
ARCH101,C,AF_AB4.B233
ARCH101,D,AF_AB4.B233
ARCH101,E,AF_AB4.B233
ARCH102,A,AF_AB4.B314
ARCH105,A,FEAS_AB2.G30
ARCH107,A,AF_AB4.B233
ARCH107,B,AF_AB4.B233
ARCH107,C,AF_AB4.B126
ARCH107,D,AF_AB4.B126
ARCH110,A,AF_AB4.B226
ARCH110,C,AF_AB4.B313B
ARCH201,A,AF_AB4.B314
ARCH201,C,AF_AB4.B314
ARCH201,D,AF_AB4.B314
ARCH201,E,AF_AB4.B314
ARCH202,A,AF_AB4.B125
ARCH205,A,AF_AB4.124
ARCH205,B,AF_AB4.123;AF_AB4.B226
ARCH207,A,AF_AB4.124
ARCH207,B,AF_AB4.B313A
ARCH209,A,FEAS_AB2.G02
ARCH209,B,FEAS_AB2.102
ARCH209,C,FEAS_AB2.G01
ARCH210,A,FEAS_AB2.103
ARCH212,A,AF_AB4.B230
ARCH212,B,FEAS_AB2.G14
ARCH212,C,AF_AB4.B313A
ARCH301,A,AF_AB4.B314
ARCH301,B,AF_AB4.B314
